[14:47:13.110] ESP-ROM:esp32s3-20210327
[14:47:13.117] Build:Mar 27 2021
[14:47:13.124] rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
[14:47:13.124] SPIWP:0xee
[14:47:13.124] mode:DIO, clock div:1
[14:47:13.130] load:0x3fce2820,len:0x10cc
[14:47:13.130] load:0x403c8700,len:0xc2c
[14:47:13.132] load:0x403cb700,len:0x30c0
[14:47:13.132] entry 0x403c88b8
[14:47:13.220] --- Sony UniLink SPY (PASSIVE SNIFFER ESP32) ---
[14:47:13.225] Podlacz ESP rownolegle do dzialajacej zmieniarki.
[14:47:13.231] Standard wyjscia dopasowany do logow UNO. Nie zapomnij o konwerterach napiecia!
[14:47:19.906] --- NOWA SEKWENCJA ---
[14:47:23.470] [GAP: 972 us] -> 00
[14:47:23.470] [GAP: 1007 us] -> 40
[14:47:23.475] [GAP: 1006 us] -> AA
[14:47:23.475] [GAP: 1008 us] -> 00
[14:47:23.480] [GAP: 5972 us] -> 00
[14:47:23.480] [GAP: 6007 us] -> 92
[14:47:23.480] [GAP: 972 us] -> 10
[14:47:23.480] [GAP: 1007 us] -> 89
[14:47:23.487] [GAP: 1007 us] -> 00
[14:47:23.490] [GAP: 1007 us] -> 2B
[14:47:23.490] [GAP: 972 us] -> 00
[14:47:23.490] [GAP: 1007 us] -> 00
[14:47:23.497] [GAP: 1007 us] -> 00
[14:47:23.497] [GAP: 1007 us] -> 00
[14:47:23.501] [GAP: 973 us] -> 2B
[14:47:23.501] [GAP: 1006 us] -> 00
[14:47:23.504] [GAP: 6007 us] -> 00
[14:47:23.509] [GAP: 5972 us] -> 93
[14:47:23.509] [GAP: 1007 us] -> 10
[14:47:23.510] [GAP: 1007 us] -> 89
[14:47:23.510] [GAP: 973 us] -> 00
[14:47:23.516] [GAP: 1007 us] -> 2C
[14:47:23.520] [GAP: 1006 us] -> 00
[14:47:23.521] [GAP: 1007 us] -> 00
[14:47:23.523] [GAP: 973 us] -> 00
[14:47:23.523] [GAP: 1007 us] -> 00
[14:47:23.523] --- NOWA SEKWENCJA ---
[14:47:23.530] [GAP: 481183 us] -> 18
[14:47:23.530] [GAP: 972 us] -> 10
[14:47:23.530] [GAP: 1007 us] -> 01
[14:47:23.537] [GAP: 1007 us] -> 15
[14:47:23.540] [GAP: 1007 us] -> 3E
[14:47:23.542] [GAP: 1007 us] -> 00
[14:47:23.542] [GAP: 5972 us] -> 10
[14:47:23.546] [GAP: 1007 us] -> 18
[14:47:23.548] [GAP: 1007 us] -> 82
[14:47:23.550] [GAP: 972 us] -> 05
[14:47:23.553] [GAP: 1007 us] -> AF
[14:47:23.553] [GAP: 1007 us] -> 00
[14:47:23.555] [GAP: 1007 us] -> 00
[14:47:23.555] [GAP: 972 us] -> 00
[14:47:23.561] [GAP: 1007 us] -> 00
[14:47:23.561] [GAP: 1007 us] -> AF
[14:47:23.561] [GAP: 1007 us] -> 00
[14:47:23.570] [GAP: 5972 us] -> 3B
[14:47:23.570] [GAP: 1007 us] -> 10
